seed,astar_steps,astar_mean_dist,astar_max_dist,firefly_steps,firefly_mean_dist,firefly_max_dist
0,42,0.0,0.0,220,0.03103164871688595,0.05996702456270397
1,26,0.0,0.0,220,0.06456647520020065,0.1451288290774427
2,32,0.0,0.0,220,0.03330296718731688,0.05253243476777895
3,38,0.0,0.0,220,0.030784760943863357,0.04933060309100765
4,20,0.0,0.0,220,0.06224194876181994,0.10448405850303064
