seed,baseline_steps,baseline_mean_dist,baseline_max_dist,firefly_steps,firefly_mean_dist,firefly_max_dist
0,220,0.24102890288414228,0.6247448458762822,220,0.05093862362381432,0.12134238780259055
1,220,0.2512658952592374,0.5075953715554248,220,0.06084204550504515,0.1472537723434879
2,220,0.211277785610428,0.7231591689755924,220,0.05443653417373868,0.1129384878631564
3,220,0.43402271191851644,0.7354021529276429,220,0.08109305305305346,0.1785714285714286
4,220,0.1845238095238095,0.4285714285714285,220,0.06987690533824094,0.12532362786969234
