seed,astar_reserved_steps,astar_reserved_mean_dist,astar_reserved_max_dist,firefly_steps,firefly_mean_dist,firefly_max_dist,astar_reserved_reserved_cells
0,220,0.20841348442755925,0.7354021529276428,220,0.05093862362381432,0.12134238780259055,177
1,220,0.16769812700555675,0.554434810580715,220,0.06084204550504515,0.1472537723434879,99
2,41,0.0,0.0,220,0.05443653417373868,0.1129384878631564,131
3,220,0.25370456446409567,0.830693096400929,220,0.08109305305305346,0.1785714285714286,144
4,20,0.0,0.0,220,0.06987690533824094,0.12532362786969234,87
