seed,astar_steps,astar_mean_dist,astar_max_dist,firefly_steps,firefly_mean_dist,firefly_max_dist
0,42,0.0,0.0,220,0.05093862362381432,0.12134238780259055
1,26,0.0,0.0,220,0.06084204550504515,0.1472537723434879
2,32,0.0,0.0,220,0.05443653417373868,0.1129384878631564
3,38,0.0,0.0,220,0.08109305305305346,0.1785714285714286
4,20,0.0,0.0,220,0.06987690533824094,0.12532362786969234
